day,hour,minute,room_actual,minute_idx
217,8,4,5C-01.2,1204
217,10,0,5C-05.2,1320
217,10,18,5C-01.2,1338
217,10,43,5C-01.2,1363
217,11,42,5C-01.2,1422
217,12,6,Flur 4. OG Übergang,1446
217,12,38,5C-01.2,1478
217,15,1,5C-01.2,1621
217,16,2,5C-01.1,1682
217,16,45,5C-01.2,1725
218,8,4,5C-01.2,1804
218,10,18,5C-01.2,1938
218,12,16,Flur 4. OG Übergang,2056
218,12,49,5C-01.2,2089
218,14,35,5C-01.2,2195
218,15,37,5C-01.2,2257
219,8,6,5C-01.2,2406
219,8,35,5C-01.2,2435
219,9,38,5C-01.2,2498
219,10,34,5C-01.2,2554
219,11,41,5C-01.2,2621
219,12,4,Flur 4. OG Übergang,2644
219,12,37,5C-01.2,2677
219,14,14,4C-05,2774
219,15,22,5C-01.2,2842
