minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),243
1.0,0.0,18.0,False,False,(58; 76; 192),243
2.0,0.0,18.0,False,False,(58; 76; 192),243
3.0,0.0,18.0,False,False,(58; 76; 192),243
4.0,0.0,18.0,False,False,(58; 76; 192),243
5.0,0.0,18.0,False,False,(58; 76; 192),243
6.0,0.0,18.0,False,False,(58; 76; 192),243
7.0,0.0,18.0,False,False,(58; 76; 192),243
8.0,0.0,18.0,False,False,(58; 76; 192),243
9.0,0.0,18.0,False,False,(58; 76; 192),243
10.0,0.0,18.0,False,False,(58; 76; 192),243
11.0,0.0,18.0,False,False,(58; 76; 192),243
12.0,0.0,18.0,False,False,(58; 76; 192),243
13.0,0.0,18.0,False,False,(58; 76; 192),243
14.0,0.0,18.0,False,False,(58; 76; 192),243
15.0,0.0,18.0,False,False,(58; 76; 192),243
16.0,0.0,18.0,False,False,(58; 76; 192),243
17.0,0.0,18.0,False,False,(58; 76; 192),243
18.0,0.0,18.0,False,False,(58; 76; 192),243
19.0,0.0,18.0,False,False,(58; 76; 192),243
20.0,0.0,18.0,False,False,(58; 76; 192),243
21.0,0.0,18.0,False,False,(58; 76; 192),243
22.0,0.0,18.0,False,False,(58; 76; 192),243
23.0,0.0,18.0,False,False,(58; 76; 192),243
24.0,0.0,18.0,False,False,(58; 76; 192),243
25.0,0.0,18.0,False,False,(58; 76; 192),243
26.0,0.0,18.0,False,False,(58; 76; 192),243
27.0,0.0,18.0,False,False,(58; 76; 192),243
28.0,0.0,18.0,False,False,(58; 76; 192),243
29.0,0.0,18.0,False,False,(58; 76; 192),243
30.0,0.0,18.0,False,False,(58; 76; 192),243
31.0,0.0,18.0,False,False,(58; 76; 192),243
32.0,0.0,18.0,False,False,(58; 76; 192),243
33.0,0.0,18.0,False,False,(58; 76; 192),243
34.0,0.0,18.0,False,False,(58; 76; 192),243
35.0,0.0,18.0,False,False,(58; 76; 192),243
36.0,0.0,18.0,False,False,(58; 76; 192),243
37.0,0.0,18.0,False,False,(58; 76; 192),243
38.0,0.0,18.0,False,False,(58; 76; 192),243
39.0,0.0,18.0,False,False,(58; 76; 192),243
40.0,0.0,18.0,False,False,(58; 76; 192),243
41.0,0.0,18.0,False,False,(58; 76; 192),243
42.0,0.0,18.0,False,False,(58; 76; 192),243
43.0,0.0,18.0,False,False,(58; 76; 192),243
44.0,0.0,18.0,False,False,(58; 76; 192),243
45.0,0.0,18.0,False,False,(58; 76; 192),243
46.0,0.0,18.0,False,False,(58; 76; 192),243
47.0,0.0,18.0,False,False,(58; 76; 192),243
48.0,0.0,18.0,False,False,(58; 76; 192),243
49.0,0.0,18.0,False,False,(58; 76; 192),243
50.0,0.0,18.0,False,False,(58; 76; 192),243
51.0,0.0,18.0,False,False,(58; 76; 192),243
52.0,0.0,18.0,False,False,(58; 76; 192),243
53.0,0.0,18.0,False,False,(58; 76; 192),243
