minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),951
1.0,0.0,18.0,False,False,(58; 76; 192),951
2.0,0.0,18.0,False,False,(58; 76; 192),951
3.0,0.0,18.0,False,False,(58; 76; 192),951
4.0,0.0,18.0,False,False,(58; 76; 192),951
5.0,0.0,18.0,False,False,(58; 76; 192),951
6.0,0.0,18.0,False,False,(58; 76; 192),951
7.0,0.0,18.0,False,False,(58; 76; 192),951
8.0,0.0,18.0,False,False,(58; 76; 192),951
9.0,0.0,18.0,False,False,(58; 76; 192),951
10.0,0.0,18.0,False,False,(58; 76; 192),951
11.0,0.0,18.0,False,False,(58; 76; 192),951
12.0,0.0,18.0,False,False,(58; 76; 192),951
13.0,0.0,18.0,False,False,(58; 76; 192),951
14.0,0.0,18.0,False,False,(58; 76; 192),951
15.0,0.0,18.0,False,False,(58; 76; 192),951
16.0,0.0,18.0,False,False,(58; 76; 192),951
17.0,0.0,18.0,False,False,(58; 76; 192),951
18.0,0.0,18.0,False,False,(58; 76; 192),951
19.0,0.0,18.0,False,False,(58; 76; 192),951
20.0,0.0,18.0,False,False,(58; 76; 192),951
21.0,0.0,18.0,False,False,(58; 76; 192),951
22.0,0.0,18.0,False,False,(58; 76; 192),951
23.0,0.0,18.0,False,False,(58; 76; 192),951
24.0,0.0,18.0,False,False,(58; 76; 192),951
25.0,0.0,18.0,False,False,(58; 76; 192),951
26.0,0.0,18.0,False,False,(58; 76; 192),951
27.0,0.0,18.0,False,False,(58; 76; 192),951
28.0,0.0,18.0,False,False,(58; 76; 192),951
29.0,0.0,18.0,False,False,(58; 76; 192),951
30.0,0.0,18.0,False,False,(58; 76; 192),951
31.0,0.0,18.0,False,False,(58; 76; 192),951
32.0,0.0,18.0,False,False,(58; 76; 192),951
33.0,0.0,18.0,False,False,(58; 76; 192),951
34.0,0.0,18.0,False,False,(58; 76; 192),951
35.0,0.0,18.0,False,False,(58; 76; 192),951
36.0,0.0,18.0,False,False,(58; 76; 192),951
37.0,0.0,18.0,False,False,(58; 76; 192),951
38.0,0.0,18.0,False,False,(58; 76; 192),951
39.0,0.0,18.0,False,False,(58; 76; 192),951
40.0,0.0,18.0,False,False,(58; 76; 192),951
41.0,0.0,18.0,False,False,(58; 76; 192),951
42.0,0.0,18.0,False,False,(58; 76; 192),951
43.0,0.0,18.0,False,False,(58; 76; 192),951
44.0,0.0,18.0,False,False,(58; 76; 192),951
45.0,0.0,18.0,False,False,(58; 76; 192),951
46.0,0.0,18.0,False,False,(58; 76; 192),951
47.0,0.0,18.0,False,False,(58; 76; 192),951
48.0,0.0,18.0,False,False,(58; 76; 192),951
49.0,0.0,18.0,False,False,(58; 76; 192),951
50.0,0.0,18.0,False,False,(58; 76; 192),951
51.0,0.0,18.0,False,False,(58; 76; 192),951
52.0,0.0,18.0,False,False,(58; 76; 192),951
53.0,0.0,18.0,False,False,(58; 76; 192),951
54.0,0.0,18.0,False,False,(58; 76; 192),951
55.0,0.0,18.0,False,False,(58; 76; 192),951
56.0,0.0,18.0,False,False,(58; 76; 192),951
57.0,0.0,18.0,False,False,(58; 76; 192),951
58.0,0.0,18.0,False,False,(58; 76; 192),951
59.0,0.0,18.0,False,False,(58; 76; 192),951
60.0,0.0,18.0,False,False,(58; 76; 192),951
61.0,0.0,18.0,False,False,(58; 76; 192),951
62.0,0.0,18.0,False,False,(58; 76; 192),951
63.0,0.0,18.0,False,False,(58; 76; 192),951
64.0,0.0,18.0,False,False,(58; 76; 192),951
65.0,0.0,18.0,False,False,(58; 76; 192),951
66.0,0.0,18.0,False,False,(58; 76; 192),951
67.0,0.0,18.0,False,False,(58; 76; 192),951
68.0,0.0,18.0,False,False,(58; 76; 192),951
69.0,0.0,18.0,False,False,(58; 76; 192),951
70.0,0.0,18.0,False,False,(58; 76; 192),951
71.0,0.0,18.0,False,False,(58; 76; 192),951
72.0,0.0,18.0,False,False,(58; 76; 192),951
73.0,0.0,18.0,False,False,(58; 76; 192),951
74.0,0.0,18.0,False,False,(58; 76; 192),951
75.0,0.0,18.0,False,False,(58; 76; 192),951
76.0,0.0,18.0,False,False,(58; 76; 192),951
77.0,0.0,18.0,False,False,(58; 76; 192),951
78.0,0.0,18.0,False,False,(58; 76; 192),951
79.0,0.0,18.0,False,False,(58; 76; 192),951
80.0,0.0,18.0,False,False,(58; 76; 192),951
81.0,0.0,18.0,False,False,(58; 76; 192),951
82.0,0.0,18.0,False,False,(58; 76; 192),951
83.0,0.0,18.0,False,False,(58; 76; 192),951
84.0,0.0,18.0,False,False,(58; 76; 192),951
85.0,0.0,18.0,False,False,(58; 76; 192),951
86.0,0.0,18.0,False,False,(58; 76; 192),951
87.0,0.0,18.0,False,False,(58; 76; 192),951
88.0,0.0,18.0,False,False,(58; 76; 192),951
89.0,0.0,18.0,False,False,(58; 76; 192),951
90.0,0.0,18.0,False,False,(58; 76; 192),951
91.0,0.0,18.0,False,False,(58; 76; 192),951
92.0,0.0,18.0,False,False,(58; 76; 192),951
93.0,0.0,18.0,False,False,(58; 76; 192),951
94.0,0.0,18.0,False,False,(58; 76; 192),951
95.0,0.0,18.0,False,False,(58; 76; 192),951
96.0,0.0,18.0,False,False,(58; 76; 192),951
97.0,0.0,18.0,False,False,(58; 76; 192),951
98.0,0.0,18.0,False,False,(58; 76; 192),951
99.0,0.0,18.0,False,False,(58; 76; 192),951
100.0,0.0,18.0,False,False,(58; 76; 192),951
101.0,0.0,18.0,False,False,(58; 76; 192),951
102.0,0.0,18.0,False,False,(58; 76; 192),951
103.0,0.0,18.0,False,False,(58; 76; 192),951
104.0,0.0,18.0,False,False,(58; 76; 192),951
105.0,0.0,18.0,False,False,(58; 76; 192),951
106.0,0.0,18.0,False,False,(58; 76; 192),951
107.0,0.0,18.0,False,False,(58; 76; 192),951
108.0,0.0,18.0,False,False,(58; 76; 192),951
109.0,0.0,18.0,False,False,(58; 76; 192),951
110.0,0.0,18.0,False,False,(58; 76; 192),951
111.0,0.0,18.0,False,False,(58; 76; 192),951
112.0,0.0,18.0,False,False,(58; 76; 192),951
113.0,0.0,18.0,False,False,(58; 76; 192),951
114.0,0.0,18.0,False,False,(58; 76; 192),951
115.0,0.0,18.0,False,False,(58; 76; 192),951
116.0,0.0,18.0,False,False,(58; 76; 192),951
117.0,0.0,18.0,False,False,(58; 76; 192),951
118.0,0.0,18.0,False,False,(58; 76; 192),951
119.0,0.0,18.0,False,False,(58; 76; 192),951
120.0,0.0,18.0,False,False,(58; 76; 192),951
121.0,0.0,18.0,False,False,(58; 76; 192),951
122.0,0.0,18.0,False,False,(58; 76; 192),951
123.0,0.0,18.0,False,False,(58; 76; 192),951
124.0,0.0,18.0,False,False,(58; 76; 192),951
125.0,0.0,18.0,False,False,(58; 76; 192),951
